region,id,label,unit,before,after,delta,before_pixels,after_pixels,status,note
eye_texture,right_cheek_sesc_inspired_scaliness_pct,画面右頬・対照のSEsc-inspired bright-scaliness率,%,0.0,0.0,0.0,10480,9816,ok,Visioscan SEscで公開されている閾値定義を参考に、ROI平均grayの19/13倍より明るく、gray 240以下の画素割合を計算する。通常のBGR動画をOpenCV grayへ変換した研究用の近似指標で、Visioscan専用UVA撮影によるSEscそのものではなく、乾燥・鱗屑の診断値でもない。 元画像の対象10480画素（必要100画素以上）。
eye_texture,forehead_sesc_inspired_scaliness_pct,額・対照のSEsc-inspired bright-scaliness率,%,0.0,0.0,0.0,6480,6949,ok,Visioscan SEscで公開されている閾値定義を参考に、ROI平均grayの19/13倍より明るく、gray 240以下の画素割合を計算する。通常のBGR動画をOpenCV grayへ変換した研究用の近似指標で、Visioscan専用UVA撮影によるSEscそのものではなく、乾燥・鱗屑の診断値でもない。 元画像の対象6480画素（必要100画素以上）。
eye_texture,screen_left_upper_lid_skin_gvr_inspired_ratio,画面左眉下の皮膚のGVR-inspired皮膚水分反射比,ratio,2.85116413266959e-07,7.264033047617631e-07,4.4128689149480404e-07,1047,1094,ok,"Wu et al. (2024) の可視光GVRを参考に、HSI intensity I=(R+G+B)/3へCLAHEを適用し、I-CLAHE(I)の負値を0へクリップしたreflectance-like画像について、ROI平均 / 画像全体の画素和を計算。論文ではCLAHEパラメータが未記載のため、OpenCV clipLimit=2.0, tileGridSize=(8, 8)を固定した研究用近似。EPISCANの標準化撮影を再現しておらず、皮膚水分量や乾燥の診断値ではない。 元画像の対象1047画素（必要100画素以上）。"
eye_texture,screen_right_upper_lid_skin_gvr_inspired_ratio,画面右眉下の皮膚のGVR-inspired皮膚水分反射比,ratio,1.3782725959645637e-08,8.285946882555887e-07,8.14811962295943e-07,1141,1198,ok,"Wu et al. (2024) の可視光GVRを参考に、HSI intensity I=(R+G+B)/3へCLAHEを適用し、I-CLAHE(I)の負値を0へクリップしたreflectance-like画像について、ROI平均 / 画像全体の画素和を計算。論文ではCLAHEパラメータが未記載のため、OpenCV clipLimit=2.0, tileGridSize=(8, 8)を固定した研究用近似。EPISCANの標準化撮影を再現しておらず、皮膚水分量や乾燥の診断値ではない。 元画像の対象1141画素（必要100画素以上）。"
eye_texture,left_cheek_gvr_inspired_ratio,画面左頬・対照のGVR-inspired皮膚水分反射比,ratio,1.4701643143872404e-06,3.930550849110872e-07,-1.0771092294761534e-06,7425,7587,ok,"Wu et al. (2024) の可視光GVRを参考に、HSI intensity I=(R+G+B)/3へCLAHEを適用し、I-CLAHE(I)の負値を0へクリップしたreflectance-like画像について、ROI平均 / 画像全体の画素和を計算。論文ではCLAHEパラメータが未記載のため、OpenCV clipLimit=2.0, tileGridSize=(8, 8)を固定した研究用近似。EPISCANの標準化撮影を再現しておらず、皮膚水分量や乾燥の診断値ではない。 元画像の対象7425画素（必要100画素以上）。"
eye_texture,right_cheek_gvr_inspired_ratio,画面右頬・対照のGVR-inspired皮膚水分反射比,ratio,5.976410258327856e-07,1.422814395878631e-07,-4.553595862449225e-07,10480,9816,ok,"Wu et al. (2024) の可視光GVRを参考に、HSI intensity I=(R+G+B)/3へCLAHEを適用し、I-CLAHE(I)の負値を0へクリップしたreflectance-like画像について、ROI平均 / 画像全体の画素和を計算。論文ではCLAHEパラメータが未記載のため、OpenCV clipLimit=2.0, tileGridSize=(8, 8)を固定した研究用近似。EPISCANの標準化撮影を再現しておらず、皮膚水分量や乾燥の診断値ではない。 元画像の対象10480画素（必要100画素以上）。"
eye_texture,forehead_gvr_inspired_ratio,額・対照のGVR-inspired皮膚水分反射比,ratio,1.9926117200127705e-07,0.0,-1.9926117200127705e-07,6480,6949,ok,"Wu et al. (2024) の可視光GVRを参考に、HSI intensity I=(R+G+B)/3へCLAHEを適用し、I-CLAHE(I)の負値を0へクリップしたreflectance-like画像について、ROI平均 / 画像全体の画素和を計算。論文ではCLAHEパラメータが未記載のため、OpenCV clipLimit=2.0, tileGridSize=(8, 8)を固定した研究用近似。EPISCANの標準化撮影を再現しておらず、皮膚水分量や乾燥の診断値ではない。 元画像の対象6480画素（必要100画素以上）。"
eye_texture,screen_left_nasolabial_crease_darkness_median_pct,画面左ほうれい線候補の周囲皮膚比・暗さコントラスト（中央値）,局所L*比 %,0.0,0.0,0.0,1927,1904,ok,"頬側の周囲皮膚対照帯のL*中央値を局所基準にし、候補帯の各画素について 100×max(対照L*中央値−候補L*, 0)/対照L*中央値 を計算。物理的なシワ深さではなく、画像上で溝・陰影が周囲皮膚より暗く見える度合い。 候補1927画素（必要100以上）、対照2288画素（必要50以上）。"
eye_texture,screen_left_nasolabial_crease_darkness_p90_pct,画面左ほうれい線候補の周囲皮膚比・暗さコントラスト（p90）,局所L*比 %,5.066686536025632,9.244011976047904,4.177325440022273,1927,1904,ok,"頬側の周囲皮膚対照帯のL*中央値を局所基準にし、候補帯の各画素について 100×max(対照L*中央値−候補L*, 0)/対照L*中央値 を計算。物理的なシワ深さではなく、画像上で溝・陰影が周囲皮膚より暗く見える度合い。 候補1927画素（必要100以上）、対照2288画素（必要50以上）。"
eye_texture,screen_right_nasolabial_crease_darkness_median_pct,画面右ほうれい線候補の周囲皮膚比・暗さコントラスト（中央値）,局所L*比 %,0.0,0.0,0.0,1937,1911,ok,"頬側の周囲皮膚対照帯のL*中央値を局所基準にし、候補帯の各画素について 100×max(対照L*中央値−候補L*, 0)/対照L*中央値 を計算。物理的なシワ深さではなく、画像上で溝・陰影が周囲皮膚より暗く見える度合い。 候補1937画素（必要100以上）、対照2304画素（必要50以上）。"
eye_texture,screen_right_nasolabial_crease_darkness_p90_pct,画面右ほうれい線候補の周囲皮膚比・暗さコントラスト（p90）,局所L*比 %,10.189761694616063,2.8187114461960245,-7.371050248420039,1937,1911,ok,"頬側の周囲皮膚対照帯のL*中央値を局所基準にし、候補帯の各画素について 100×max(対照L*中央値−候補L*, 0)/対照L*中央値 を計算。物理的なシワ深さではなく、画像上で溝・陰影が周囲皮膚より暗く見える度合い。 候補1937画素（必要100以上）、対照2304画素（必要50以上）。"
